,word,count,cum_freq,cum_perc,percentile,length,volume
0,the,1966998,1966998,6.33935902859,10,3,>1M
1,to,899907,2866905,9.23963323596,10,2,>100K
2,a,888024,3754929,12.1016101988,20,1,>100K
3,and,882571,4637500,14.9460129065,20,3,>100K
4,of,770019,5407519,17.4276762838,20,2,>100K
5,in,673173,6080692,19.5972185688,20,2,>100K
6,that,370734,6451426,20.7920423205,30,4,>100K
7,for,350543,6801969,21.9217933076,30,3,>100K
8,it,284799,7086768,22.8396605916,30,2,>100K
9,is,283730,7370498,23.7540826384,30,2,>100K
10,on,266462,7636960,24.61285234,30,2,>100K
11,with,254019,7890979,25.4315199955,30,4,>100K
12,he,253458,8144437,26.2483796266,30,2,>100K
13,said,250134,8394571,27.0545264713,30,4,>100K
14,was,228619,8623190,27.7913334847,30,3,>100K
15,at,212812,8836002,28.4771967513,30,2,>100K
16,i,192306,9028308,29.0969720522,30,1,>100K
17,as,186772,9215080,29.6989120463,30,2,>100K
18,his,157237,9372317,30.2056648725,40,3,>100K
19,be,151863,9524180,30.6950980494,40,2,>100K
20,from,151548,9675728,31.1835160254,40,4,>100K
21,but,150893,9826621,31.6698230282,40,3,>100K
22,have,143431,9970052,32.1320810503,40,4,>100K
23,are,138542,10108594,32.5785825101,40,3,>100K
24,by,132165,10240759,33.0045317923,40,2,>100K
25,they,129714,10370473,33.4225818447,40,4,>100K
26,we,124618,10495091,33.8242082029,40,2,>100K
27,an,122809,10617900,34.2200044076,40,2,>100K
28,this,121612,10739512,34.6119428489,40,4,>100K
29,has,120402,10859914,34.9999816297,40,3,>100K
30,you,113315,10973229,35.3651800022,40,3,>100K
31,also,112688,11085917,35.7283576415,40,4,>100K
32,not,111958,11197875,36.0891825931,40,3,>100K
33,who,111226,11309101,36.4476484112,40,3,>100K
34,will,107883,11416984,36.7953402086,40,4,>100K
35,or,97495,11514479,37.1095529371,40,2,>10K
36,s,89679,11604158,37.3985757924,40,1,>10K
37,about,89101,11693259,37.6857358347,40,5,>10K
38,more,87721,11780980,37.9684483302,40,4,>10K
39,their,86331,11867311,38.2466810505,40,5,>10K
40,one,85360,11952671,38.5217843738,40,3,>10K
41,had,83115,12035786,38.7896523765,40,3,>10K
42,she,81817,12117603,39.0533371071,40,3,>10K
43,when,78560,12196163,39.3065249829,40,4,>10K
44,were,73662,12269825,39.5439272907,40,4,>10K
45,would,72059,12341884,39.7761633541,40,5,>10K
46,up,71955,12413839,40.0080642401,50,2,>10K
47,out,71703,12485542,40.2391529654,50,3,>10K
48,new,70202,12555744,40.4654041779,50,3,>10K
49,can,69478,12625222,40.6893220398,50,3,>10K
50,there,69048,12694270,40.911854072,50,5,>10K
51,her,68564,12762834,41.13282624,50,3,>10K
52,all,68453,12831287,41.3534406705,50,3,>10K
53,been,66032,12897319,41.5662525571,50,4,>10K
54,if,64910,12962229,41.7754483949,50,2,>10K
55,make,63506,13025735,41.9801193373,50,4,>10K
56,after,62585,13088320,42.1818220258,50,5,>10K
57,two,60862,13149182,42.3779717266,50,3,>10K
58,what,60324,13209506,42.5723875288,50,4,>10K
59,which,59755,13269261,42.7649695237,50,5,>10K
60,year,59513,13328774,42.9567715864,50,4,>10K
61,than,58018,13386792,43.1437554736,50,4,>10K
62,its,57473,13444265,43.3289829021,50,3,>10K
63,so,56042,13500307,43.5095984181,50,2,>10K
64,first,55730,13556037,43.6892084018,50,5,>10K
65,state,54045,13610082,43.8633878665,50,5,>10K
66,no,53832,13663914,44.036880862,50,2,>10K
67,just,52950,13716864,44.2075312951,50,4,>10K
68,last,51680,13768544,44.3740886961,50,4,>10K
69,some,51397,13819941,44.5397340277,50,4,>10K
70,time,50592,13870533,44.7027849571,50,4,>10K
71,like,49205,13919738,44.8613657797,50,4,>10K
72,into,48363,13968101,45.0172329543,50,4,>10K
73,people,48335,14016436,45.1730098888,50,6,>10K
74,years,46482,14062918,45.3228148639,50,5,>10K
75,get,43556,14106474,45.4631897508,50,3,>10K
76,him,43227,14149701,45.6025043169,50,3,>10K
77,do,42687,14192388,45.7400785385,50,2,>10K
78,them,42400,14234788,45.8767277994,50,4,>10K
79,over,42318,14277106,46.0131127857,50,4,>10K
80,my,41861,14318967,46.1480249251,50,2,>10K
81,city,41708,14360675,46.2824439669,50,4,>10K
82,m,41124,14401799,46.4149808585,50,1,>10K
83,could,40475,14442274,46.545426114,50,5,>10K
84,our,39143,14481417,46.6715785201,50,3,>10K
85,because,38957,14520374,46.7971314742,50,7,>10K
86,three,36419,14556793,46.9145048098,50,5,>10K
87,now,35648,14592441,47.0293933205,50,3,>10K
88,school,35415,14627856,47.1435309047,50,6,>10K
89,most,34778,14662634,47.2556155272,50,4,>10K
90,only,34681,14697315,47.3673875323,50,4,>10K
91,before,33710,14731025,47.4760301404,50,6,>10K
92,how,33643,14764668,47.5844568169,50,3,>10K
93,back,33585,14798253,47.6926965675,50,4,>10K
94,game,31877,14830130,47.7954316734,50,4,>10K
95,says,31784,14861914,47.8978670533,50,4,>10K
96,where,31680,14893594,47.9999672557,50,5,>10K
97,your,31566,14925160,48.1017000522,50,4,>10K
98,county,31424,14956584,48.2029752025,50,6,>10K
99,going,31106,14987690,48.3032254833,50,5,>10K
100,those,30958,15018648,48.4029987809,50,5,>10K
101,don,30844,15049492,48.5024046725,50,3,>10K
