,word,count,cum_freq,cum_perc,percentile,length,volume
0,the,934525,934525,3.45497336303,10,3,>100K
1,i,912746,1847271,6.82942896049,10,1,>100K
2,to,786961,2634232,9.73885277767,10,2,>100K
3,a,610242,3244474,11.9949399396,20,1,>100K
4,you,598028,3842502,14.2058714934,20,3,>100K
5,and,435941,4278443,15.8175614352,20,3,>100K
6,for,384630,4663073,17.2395527192,20,3,>100K
7,it,381565,5044638,18.6502125852,20,2,>100K
8,in,376866,5421504,20.043500075,30,2,>100K
9,of,358771,5780275,21.369889683,30,2,>100K
10,is,358355,6138630,22.6947413237,30,2,>100K
11,my,291501,6430131,23.7724312627,30,2,>100K
12,on,276581,6706712,24.794961412,30,2,>100K
13,that,269978,6976690,25.7930800269,30,4,>100K
14,me,201009,7177699,26.5362177073,30,2,>100K
15,do,197458,7375157,27.2662272098,30,2,>100K
16,be,187342,7562499,27.9588374875,30,2,>100K
17,at,185805,7748304,28.6457654195,30,2,>100K
18,with,172926,7921230,29.285079214,30,4,>100K
19,your,171148,8092378,29.917819677,30,4,>100K
20,have,168330,8260708,30.5401418901,40,4,>100K
21,we,164618,8425326,31.1487407024,40,2,>100K
22,this,163419,8588745,31.7529067675,40,4,>100K
23,so,162558,8751303,32.3538896839,40,2,>100K
24,are,158634,8909937,32.9403654277,40,3,>100K
25,know,155678,9065615,33.5159127306,40,4,>100K
26,just,151203,9216818,34.0749157935,40,4,>100K
27,can,135467,9352285,34.5757422846,40,3,>100K
28,but,127273,9479558,35.0462752557,40,3,>100K
29,what,127246,9606804,35.5167084068,40,4,>100K
30,not,123082,9729886,35.9717470965,40,3,>100K
31,like,121219,9851105,36.4198982065,40,4,>100K
32,all,121116,9972221,36.8676685218,40,3,>100K
33,was,117141,10089362,37.3007431155,40,3,>100K
34,out,114299,10203661,37.7233107305,40,3,>100K
35,up,113271,10316932,38.1420777916,40,2,>100K
36,get,112136,10429068,38.556648716,40,3,>100K
37,if,106269,10535337,38.9495291251,40,2,>100K
38,love,105665,10641002,39.3401765239,40,4,>100K
39,good,101060,10742062,39.713799068,40,4,>100K
40,will,94378,10836440,40.062718012,50,4,>10K
41,about,90972,10927412,40.3990448483,50,5,>10K
42,90210,90210,11017622,40.7325545427,50,5,>10K
43,day,89420,11107042,41.0631435779,50,3,>10K
44,rt,89084,11196126,41.3924904087,50,2,>10K
45,thanks,88895,11285021,41.7211384995,50,6,>10K
46,from,83522,11368543,42.0299224114,50,4,>10K
47,now,83147,11451690,42.3373199344,50,3,>10K
48,when,82801,11534491,42.6434382827,50,4,>10K
49,one,82311,11616802,42.947745083,50,3,>10K
50,they,80549,11697351,43.2455377042,50,4,>10K
51,u,78673,11776024,43.5363946844,50,1,>10K
52,don,77998,11854022,43.8247561647,50,3,>10K
53,how,77860,11931882,44.1126074539,50,3,>10K
54,no,76833,12008715,44.3966618863,50,2,>10K
55,today,75987,12084702,44.6775886255,50,5,>10K
56,great,75575,12160277,44.9569921855,50,5,>10K
57,time,74989,12235266,45.2342292819,50,4,>10K
58,as,72980,12308246,45.5040390312,50,2,>10K
59,go,72239,12380485,45.7711092763,50,2,>10K
60,he,72103,12452588,46.0376767244,50,2,>10K
61,there,70585,12523173,46.2986320705,50,5,>10K
62,lol,69702,12592875,46.5563229331,50,3,>10K
63,new,69250,12662125,46.812342735,50,3,>10K
64,or,68712,12730837,47.0663735311,50,2,>10K
65,see,66563,12797400,47.312459395,50,3,>10K
66,an,66275,12863675,47.5574805123,50,2,>10K
67,more,62460,12926135,47.788397434,50,4,>10K
68,who,61916,12988051,48.0173031676,50,3,>10K
69,our,61758,13049809,48.2456247695,50,3,>10K
70,some,61259,13111068,48.4721015499,50,4,>10K
71,by,58720,13169788,48.6891915538,50,2,>10K
72,too,58482,13228270,48.9054016629,50,3,>10K
73,back,57494,13285764,49.1179590996,50,4,>10K
74,got,55743,13341507,49.3240430248,50,3,>10K
75,going,55616,13397123,49.5296574263,50,5,>10K
76,think,53606,13450729,49.7278407837,50,5,>10K
77,would,52434,13503163,49.9216912139,50,5,>10K
78,people,52244,13555407,50.1148392072,60,6,>10K
79,need,50738,13606145,50.3024194629,60,4,>10K
80,us,48611,13654756,50.4821361213,60,2,>10K
81,happy,48449,13703205,50.6612538597,60,5,>10K
82,want,47798,13751003,50.8379648271,60,4,>10K
83,make,47295,13798298,51.0128161849,60,4,>10K
84,follow,46812,13845110,51.185881874,60,6,>10K
85,has,46371,13891481,51.3573171698,60,3,>10K
86,tonight,46090,13937571,51.5277135982,60,7,>10K
87,right,45771,13983342,51.6969306719,60,5,>10K
88,really,45323,14028665,51.8644914731,60,6,>10K
89,much,44286,14072951,52.0282184471,60,4,>10K
90,been,43807,14116758,52.1901745404,60,4,>10K
91,still,43143,14159901,52.3496758013,60,5,>10K
92,had,42088,14201989,52.5052766883,60,3,>10K
93,work,41537,14243526,52.6588405079,60,4,>10K
94,am,41248,14284774,52.811335884,60,2,>10K
95,night,40986,14325760,52.9628626363,60,5,>10K
96,come,40370,14366130,53.112112014,60,4,>10K
97,here,39720,14405850,53.2589583177,60,4,>10K
98,did,39649,14445499,53.4055421318,60,3,>10K
99,thank,39621,14485120,53.5520224289,60,5,>10K
100,only,39153,14524273,53.6967725127,60,4,>10K
101,why,38702,14562975,53.8398552329,60,3,>10K
102,them,38470,14601445,53.9820802406,60,4,>10K
103,well,38278,14639723,54.1235954171,60,4,>10K
104,she,37416,14677139,54.2619237479,60,3,>10K
105,should,37275,14714414,54.3997307966,60,6,>10K
106,last,37212,14751626,54.5373049319,60,4,>10K
107,let,36851,14788477,54.6735444368,60,3,>10K
108,its,36818,14825295,54.8096619396,60,3,>10K
109,way,36549,14861844,54.9447849395,60,3,>10K
110,best,35903,14897747,55.0775196535,60,4,>10K
111,off,35681,14933428,55.2094336254,60,3,>10K
112,hope,35370,14968798,55.3401978188,60,4,>10K
113,never,34036,15002834,55.4660301651,60,5,>10K
114,life,33949,15036783,55.5915408691,60,4,>10K
115,his,33910,15070693,55.7169073887,60,3,>10K
116,her,33607,15104300,55.8411537062,60,3,>10K
117,oh,32867,15137167,55.9626642164,60,2,>10K
118,then,32477,15169644,56.0827328822,60,4,>10K
119,say,31945,15201589,56.2008347244,60,3,>10K
120,than,31913,15233502,56.3188182614,60,4,>10K
121,over,31173,15264675,56.4340659911,60,4,>10K
122,first,31096,15295771,56.5490290491,60,5,>10K
123,show,30912,15326683,56.6633118522,60,4,>10K
124,next,30902,15357585,56.777557685,60,4,>10K
125,im,30419,15388004,56.8900178489,60,2,>10K
126,better,30075,15418079,57.0012062322,60,6,>10K
127,please,29870,15447949,57.1116367229,60,6,>10K
128,game,29844,15477793,57.2219710907,60,4,>10K
129,twitter,29560,15507353,57.3312555,60,7,>10K
130,week,29315,15536668,57.4396341353,60,4,>10K
131,always,29048,15565716,57.5470256618,60,6,>10K
132,tomorrow,28909,15594625,57.6539033001,60,8,>10K
133,where,28543,15623168,57.7594278229,60,5,>10K
134,take,28466,15651634,57.8646676739,60,4,>10K
135,their,28395,15680029,57.9696450353,60,5,>10K
136,yes,28032,15708061,58.0732803723,60,3,>10K
137,year,27741,15735802,58.1758398716,60,4,>10K
138,down,27503,15763305,58.2775194761,60,4,>10K
139,him,27482,15790787,58.3791214428,60,3,>10K
140,man,27293,15818080,58.4800246696,60,3,>10K
141,any,27004,15845084,58.5798594527,60,3,>10K
142,wait,27000,15872084,58.6796794477,60,4,>10K
143,haha,26887,15898971,58.7790816775,60,4,>10K
144,could,26808,15925779,58.8781918414,60,5,>10K
145,were,26432,15952211,58.9759119194,60,4,>10K
146,morning,26278,15978489,59.0730626538,60,7,>10K
147,away,26258,16004747,59.1701394474,60,4,>10K
148,hey,26185,16030932,59.2669463574,60,3,>10K
149,everyone,25885,16056817,59.3626441562,60,8,>10K
150,even,25821,16082638,59.4581053448,60,4,>10K
151,getting,25695,16108333,59.5531007067,60,7,>10K
